Device             tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn
vda             771.78     26277.92        19.32   40975945      30132
vda             771.73     26258.85        19.29   41024993      30132
vda             771.66     26240.21        19.27   41074849      30164
vda             771.60     26221.13        19.23   41123653      30164
vda             771.41     26198.84        19.20   41167549      30168
vda             771.41     26180.67        19.17   41222245      30184
vda             771.36     26161.96        19.16   41271545      30232
vda             771.39     26145.65        19.13   41324249      30232
vda             771.30     26125.78        19.10   41371485      30248
vda             771.27     26107.88        19.07   41421457      30248
vda             771.20     26088.36        19.04   41469017      30264
vda             771.16     26070.31        19.04   41518533      30320
vda             771.05     26050.58        19.02   41565525      30340
vda             770.92     26031.04        18.98   41612433      30340
vda             770.82     26012.63        18.96   41661313      30372
vda             770.73     25993.24        18.93   41708225      30376
vda             770.55     25972.59        19.03   41753273      30596
vda             770.38     25951.66        19.00   41797485      30600
vda             770.33     25934.20        18.97   41847429      30612
vda             770.17     25914.72        18.94   41893741      30616
vda             770.04     25895.73        18.91   41940977      30632
vda             769.88     25876.05        18.89   41986745      30656
vda             769.72     25855.94        18.87   42031929      30672
vda             769.49     25834.75        18.83   42074989      30672
vda             769.30     25813.71        18.81   42118421      30692
vda             769.14     25793.34        18.78   42162561      30692
vda             768.99     25773.62        18.75   42207649      30712
vda             768.80     25753.31        18.72   42251905      30712
vda             768.61     25733.95        18.70   42297345      30728
vda             768.40     25714.20        18.66   42342289      30732
vda             768.19     25693.65        18.64   42385521      30748
vda             768.06     25675.15        18.61   42432301      30748
vda             767.85     25654.94        18.58   42475853      30764
vda             767.67     25635.02        18.55   42520033      30772
vda             767.42     25613.11        18.53   42560541      30788
vda             767.21     25592.81        18.50   42603845      30788
vda             767.02     25573.44        18.48   42648321      30824
vda             766.77     25552.65        18.45   42690549      30824
vda             766.55     25532.60        18.43   42733649      30844
vda             766.31     25512.37        18.40   42776585      30844
vda             766.10     25492.08        18.38   42819053      30864
vda             765.61     25466.18        18.34   42852197      30864
vda             765.37     25445.66        18.32   42894005      30880
vda             765.15     25426.14        18.29   42937633      30880
vda             764.94     25406.37        18.26   42980465      30896
vda             764.74     25386.66        18.24   43023529      30916
vda             764.51     25366.37        18.22   43065253      30932
vda             764.30     25346.53        18.19   43107849      30932
vda             764.04     25325.80        18.17   43148585      30952
vda             763.82     25306.57        18.14   43191993      30952
vda             763.56     25286.31        18.12   43233269      30988
vda             763.29     25265.78        18.10   43274209      30992
vda             763.10     25245.88        18.07   43315877      31008
vda             762.79     25224.63        18.04   43355329      31008
vda             762.59     25205.16        18.02   43397485      31024
vda             762.34     25185.44        17.99   43439341      31024
vda             762.11     25166.29        17.97   43481805      31040
vda             761.80     25144.31        17.94   43519513      31056
vda             761.52     25123.93        17.93   43559613      31084
vda             761.29     25104.34        17.90   43601213      31084
vda             761.06     25084.56        17.88   43642109      31104
vda             760.78     25063.58        17.85   43681065      31104
vda             760.50     25043.39        17.83   43721001      31128
vda             760.21     25022.37        17.80   43759625      31128
vda             759.90     25001.27        17.78   43797729      31152
vda             759.59     24980.28        17.75   43836149      31152
vda             759.31     24960.06        17.73   43875545      31168
vda             759.00     24938.60        17.70   43912885      31168
vda             758.78     24920.31        17.69   43955433      31208
vda             758.52     24901.02        17.66   43996365      31208
vda             758.23     24880.75        17.64   44035189      31224
vda             757.92     24860.83        17.61   44074777      31224
vda             757.58     24839.15        17.60   44110861      31260
vda             757.31     24819.24        17.57   44150201      31260
vda             757.00     24798.95        17.56   44188513      31284
vda             756.72     24778.53        17.53   44226709      31284
vda             756.41     24758.03        17.51   44264385      31300
vda             756.08     24737.46        17.48   44302065      31300
vda             755.73     24716.06        17.46   44337897      31316
vda             755.45     24696.27        17.43   44376721      31320
vda             755.13     24675.66        17.42   44413721      31348
vda             754.76     24654.31        17.39   44449493      31348
vda             754.47     24634.27        17.37   44487281      31364
vda             754.17     24614.17        17.34   44525057      31364
vda             753.89     24594.99        17.32   44564157      31388
vda             753.61     24575.47        17.29   44602765      31388
vda             753.35     24556.72        17.28   44642393      31408
vda             753.08     24538.03        17.25   44682277      31408
vda             752.77     24518.45        17.23   44720185      31424
vda             752.42     24497.08        17.20   44754941      31424
vda             752.13     24477.05        17.18   44791769      31440
vda             751.82     24457.68        17.16   44829709      31444
vda             751.48     24436.70        17.14   44864805      31460
vda             751.12     24415.21        17.11   44898601      31460
vda             750.78     24394.69        17.09   44934293      31476
vda             750.48     24374.95        17.06   44971053      31476
vda             750.15     24355.58        17.06   45008617      31528
vda             749.81     24335.66        17.04   45044821      31532
vda             749.42     24314.66        17.02   45079141      31548
vda             749.02     24292.82        16.99   45111521      31548
vda             748.68     24272.70        16.97   45147229      31564
vda             748.31     24251.77        16.94   45181041      31564
vda             748.01     24232.45        16.92   45217997      31580
vda             747.69     24212.83        16.91   45254029      31608
vda             747.30     24191.61        16.89   45287181      31624
vda             746.95     24172.22        16.87   45323637      31624
vda             746.60     24152.02        16.85   45358209      31640
vda             746.19     24131.30        16.82   45391941      31640
vda             745.86     24111.94        16.81   45427857      31664
vda             745.47     24091.60        16.78   45462045      31668
vda             745.06     24069.89        16.76   45493289      31684
vda             744.69     24049.55        16.74   45527245      31684
vda             744.32     24029.33        16.72   45561053      31700
vda             743.90     24008.46        16.69   45593741      31700
vda             743.56     23989.27        16.68   45629269      31728
vda             743.18     23968.73        16.65   45662345      31728
vda             742.78     23948.05        16.64   45694789      31756
vda             742.38     23927.16        16.62   45726961      31756
vda             741.99     23906.73        16.60   45759625      31772
vda             741.64     23887.24        16.57   45794221      31772
vda             741.27     23866.87        16.56   45826781      31800
vda             740.85     23845.71        16.54   45857917      31800
vda             740.50     23826.50        16.52   45892461      31816
vda             740.08     23805.45        16.49   45923565      31816
vda             739.68     23784.76        16.48   45955017      31832
vda             739.32     23765.30        16.45   45988949      31836
vda             738.91     23744.90        16.44   46020701      31868
vda             738.49     23723.87        16.42   46051349      31868
vda             738.06     23702.80        16.40   46081561      31884
vda             737.65     23682.58        16.37   46113537      31884
vda             737.24     23662.68        16.37   46145777      31920
vda             736.82     23641.44        16.34   46175517      31920
vda             736.42     23620.85        16.34   46206165      31960
vda             735.98     23599.69        16.31   46235561      31960
vda             735.60     23579.77        16.30   46267525      31976
vda             735.18     23559.15        16.27   46297741      31976
vda             734.81     23539.31        16.25   46329597      31992
vda             734.40     23518.84        16.23   46359869      31996
vda             733.93     23496.81        16.23   46387173      32040
vda             733.51     23476.42        16.21   46417345      32040
vda             733.08     23455.75        16.19   46447085      32056
vda             732.67     23435.48        16.16   46477249      32056
vda             732.24     23415.02        16.15   46507153      32080
vda             731.88     23395.89        16.13   46539337      32084
vda             731.42     23374.47        16.11   46567085      32100
vda             730.96     23353.60        16.09   46595561      32100
vda             730.49     23331.92        16.07   46622541      32116
vda             730.07     23312.47        16.05   46653621      32116
vda             729.63     23291.91        16.03   46682573      32132
vda             729.23     23272.49        16.01   46713469      32136
vda             728.80     23252.38        15.99   46743097      32152
vda             728.37     23232.34        15.97   46772517      32152
vda             727.88     23210.97        15.95   46799353      32168
vda             727.45     23190.24        15.93   46827125      32168
vda             727.00     23169.57        15.92   46855129      32192
vda             726.59     23149.94        15.90   46884881      32196
vda             726.13     23129.34        15.88   46912777      32212
vda             725.67     23108.42        15.86   46939665      32212
vda             725.21     23087.89        15.84   46967469      32228
vda             724.78     23067.80        15.82   46995797      32228
vda             724.34     23047.74        15.81   47024313      32248
vda             723.90     23027.95        15.78   47053009      32248
vda             723.46     23007.66        15.77   47080573      32264
vda             723.01     22987.28        15.74   47108053      32264
vda             722.60     22968.36        15.75   47138429      32324
vda             722.15     22948.58        15.73   47166677      32324
vda             721.70     22928.57        15.74   47194325      32392
vda             721.22     22907.91        15.71   47220757      32392
vda             720.78     22887.71        15.70   47247781      32408
vda             720.31     22867.05        15.68   47273969      32408
vda             719.84     22846.74        15.66   47300749      32424
vda             719.38     22826.44        15.64   47327197      32432
vda             718.88     22805.47        15.63   47352361      32460
vda             718.43     22785.21        15.61   47378661      32460
vda             718.00     22766.05        15.60   47407349      32476
vda             717.57     22746.58        15.57   47435041      32476
vda             717.13     22726.33        15.69   47461213      32768
vda             716.66     22705.72        15.67   47486293      32768
vda             716.19     22685.02        15.66   47511273      32792
vda             715.71     22664.53        15.63   47536349      32792
vda             715.26     22644.40        15.62   47562293      32808
vda             714.83     22625.14        15.60   47589709      32808
vda             714.34     22604.27        15.58   47613861      32824
vda             713.88     22584.63        15.56   47640249      32828
vda             713.41     22564.28        15.55   47665233      32844
vda             712.98     22544.47        15.53   47691249      32844
vda             712.52     22524.67        15.51   47716945      32860
vda             712.06     22504.83        15.49   47742637      32860
vda             711.58     22484.49        15.48   47766957      32896
vda             711.09     22463.87        15.47   47790753      32904
vda             710.60     22443.44        15.45   47814629      32920
vda             710.14     22423.60        15.43   47839853      32920
vda             709.65     22402.79        15.42   47862669      32936
vda             709.13     22381.71        15.39   47884993      32936
vda             708.67     22362.04        15.38   47910005      32952
vda             708.19     22341.98        15.36   47934261      32956
vda             707.75     22322.84        15.35   47960169      32972
vda             707.27     22302.51        15.33   47983617      32972
vda             706.78     22282.57        15.31   48007797      32988
vda             706.31     22262.64        15.29   48031653      32988
vda             705.85     22243.17        15.29   48056593      33028
vda             705.37     22223.47        15.27   48080693      33036
vda             704.88     22203.13        15.26   48103521      33060
vda             704.39     22182.93        15.24   48126305      33060
vda             703.89     22162.48        15.22   48148645      33076
vda             703.46     22143.51        15.20   48173873      33076
vda             702.99     22124.27        15.19   48198613      33096
vda             702.53     22104.97        15.17   48222881      33096
vda             702.02     22084.85        15.16   48245453      33112
vda             701.54     22065.52        15.14   48269437      33112
vda             701.02     22044.73        15.13   48290313      33132
vda             700.51     22024.34        15.10   48311709      33132
vda             700.05     22005.36        15.10   48336317      33164
vda             699.59     21986.33        15.08   48360685      33168
vda             699.08     21966.35        15.07   48382637      33184
vda             698.57     21946.20        15.05   48404329      33184
vda             698.10     21926.73        15.03   48427149      33200
vda             697.62     21907.23        15.01   48450033      33204
