time               total        used        free      shared  buff/cache   available
2023-07-31 21:11:06  Mem:           125G         37G         54G        1.1M         32G         86G
2023-07-31 21:11:09  Mem:           125G         37G         54G        1.1M         33G         86G
2023-07-31 21:11:12  Mem:           125G         38G         54G        1.1M         33G         86G
2023-07-31 21:11:15  Mem:           125G         38G         53G        1.1M         33G         86G
2023-07-31 21:11:18  Mem:           125G         38G         53G        1.1M         33G         85G
2023-07-31 21:11:21  Mem:           125G         38G         53G        1.1M         33G         85G
2023-07-31 21:11:24  Mem:           125G         38G         53G        1.1M         33G         85G
2023-07-31 21:11:27  Mem:           125G         38G         53G        1.1M         33G         85G
2023-07-31 21:11:30  Mem:           125G         38G         52G        1.1M         33G         85G
2023-07-31 21:11:33  Mem:           125G         38G         52G        1.1M         33G         85G
2023-07-31 21:11:36  Mem:           125G         38G         52G        1.1M         33G         85G
2023-07-31 21:11:39  Mem:           125G         38G         52G        1.1M         33G         85G
2023-07-31 21:11:42  Mem:           125G         39G         52G        1.1M         33G         85G
2023-07-31 21:11:45  Mem:           125G         39G         52G        1.1M         33G         85G
2023-07-31 21:11:48  Mem:           125G         39G         52G        1.1M         33G         84G
2023-07-31 21:11:51  Mem:           125G         39G         51G        1.1M         33G         84G
2023-07-31 21:11:54  Mem:           125G         39G         51G        1.1M         33G         84G
2023-07-31 21:11:57  Mem:           125G         39G         51G        1.1M         34G         84G
2023-07-31 21:12:00  Mem:           125G         39G         51G        1.1M         34G         84G
2023-07-31 21:12:03  Mem:           125G         39G         51G        1.1M         34G         84G
2023-07-31 21:12:06  Mem:           125G         39G         51G        1.1M         34G         84G
2023-07-31 21:12:09  Mem:           125G         40G         50G        1.1M         34G         84G
2023-07-31 21:12:12  Mem:           125G         40G         50G        1.1M         34G         84G
2023-07-31 21:12:15  Mem:           125G         40G         50G        1.1M         34G         83G
2023-07-31 21:12:18  Mem:           125G         40G         50G        1.1M         34G         83G
2023-07-31 21:12:21  Mem:           125G         40G         50G        1.1M         34G         83G
2023-07-31 21:12:24  Mem:           125G         40G         50G        1.1M         34G         83G
2023-07-31 21:12:27  Mem:           125G         40G         49G        1.1M         34G         83G
2023-07-31 21:12:30  Mem:           125G         40G         49G        1.1M         34G         83G
2023-07-31 21:12:33  Mem:           125G         40G         49G        1.1M         34G         83G
2023-07-31 21:12:36  Mem:           125G         40G         49G        1.1M         34G         83G
2023-07-31 21:12:39  Mem:           125G         41G         49G        1.1M         34G         83G
2023-07-31 21:12:42  Mem:           125G         41G         49G        1.1M         34G         83G
2023-07-31 21:12:45  Mem:           125G         41G         48G        1.1M         34G         82G
2023-07-31 21:12:48  Mem:           125G         41G         48G        1.1M         35G         82G
2023-07-31 21:12:51  Mem:           125G         41G         48G        1.1M         35G         82G
2023-07-31 21:12:54  Mem:           125G         41G         48G        1.1M         35G         82G
2023-07-31 21:12:57  Mem:           125G         41G         48G        1.1M         35G         82G
2023-07-31 21:13:00  Mem:           125G         41G         48G        1.1M         35G         82G
2023-07-31 21:13:03  Mem:           125G         41G         48G        1.1M         35G         82G
2023-07-31 21:13:06  Mem:           125G         41G         47G        1.1M         35G         82G
2023-07-31 21:13:09  Mem:           125G         41G         47G        1.1M         35G         82G
