time               total        used        free      shared  buff/cache   available
2023-07-29 18:16:43  Mem:           125G         10G        111G        1.1M        2.4G        113G
2023-07-29 18:16:48  Mem:           125G         10G        111G        1.1M        2.4G        113G
2023-07-29 18:16:51  Mem:           125G         11G        111G        1.1M        2.5G        113G
2023-07-29 18:16:54  Mem:           125G         11G        111G        1.1M        2.5G        113G
2023-07-29 18:16:57  Mem:           125G         11G        111G        1.1M        2.5G        113G
2023-07-29 18:17:00  Mem:           125G         11G        111G        1.1M        2.5G        113G
2023-07-29 18:17:03  Mem:           125G         11G        111G        1.1M        2.5G        113G
2023-07-29 18:17:06  Mem:           125G         11G        111G        1.1M        2.5G        113G
2023-07-29 18:17:09  Mem:           125G         11G        111G        1.1M        2.5G        113G
2023-07-29 18:17:12  Mem:           125G         11G        111G        1.1M        2.5G        113G
2023-07-29 18:17:15  Mem:           125G         11G        111G        1.1M        2.5G        113G
2023-07-29 18:17:18  Mem:           125G         11G        111G        1.1M        2.6G        113G
2023-07-29 18:17:21  Mem:           125G         11G        111G        1.1M        2.6G        113G
2023-07-29 18:17:24  Mem:           125G         11G        111G        1.1M        2.6G        113G
2023-07-29 18:17:27  Mem:           125G         11G        111G        1.1M        2.6G        113G
2023-07-29 18:17:30  Mem:           125G         11G        111G        1.1M        2.6G        113G
2023-07-29 18:17:33  Mem:           125G         11G        111G        1.1M        2.6G        113G
2023-07-29 18:17:36  Mem:           125G         11G        111G        1.1M        2.6G        113G
2023-07-29 18:17:39  Mem:           125G         11G        111G        1.1M        2.6G        113G
2023-07-29 18:17:42  Mem:           125G         11G        111G        1.1M        2.6G        113G
2023-07-29 18:17:45  Mem:           125G         11G        111G        1.1M        2.6G        112G
2023-07-29 18:17:48  Mem:           125G         11G        111G        1.1M        2.7G        112G
2023-07-29 18:17:51  Mem:           125G         11G        111G        1.1M        2.7G        112G
2023-07-29 18:17:54  Mem:           125G         11G        111G        1.1M        2.7G        112G
2023-07-29 18:17:57  Mem:           125G         11G        111G        1.1M        2.7G        112G
2023-07-29 18:18:00  Mem:           125G         11G        111G        1.1M        2.7G        112G
2023-07-29 18:18:03  Mem:           125G         11G        111G        1.1M        2.7G        112G
2023-07-29 18:18:06  Mem:           125G         11G        111G        1.1M        2.7G        112G
2023-07-29 18:18:09  Mem:           125G         11G        111G        1.1M        2.7G        112G
2023-07-29 18:18:12  Mem:           125G         11G        111G        1.1M        2.7G        112G
2023-07-29 18:18:15  Mem:           125G         11G        111G        1.1M        2.7G        112G
2023-07-29 18:18:18  Mem:           125G         11G        111G        1.1M        2.8G        112G
2023-07-29 18:18:21  Mem:           125G         11G        111G        1.1M        2.8G        112G
2023-07-29 18:18:24  Mem:           125G         11G        110G        1.1M        2.8G        112G
2023-07-29 18:18:27  Mem:           125G         11G        110G        1.1M        2.8G        112G
2023-07-29 18:18:30  Mem:           125G         11G        110G        1.1M        2.8G        112G
2023-07-29 18:18:33  Mem:           125G         11G        110G        1.1M        2.8G        112G
2023-07-29 18:18:36  Mem:           125G         11G        110G        1.1M        2.8G        112G
2023-07-29 18:18:39  Mem:           125G         11G        110G        1.1M        2.8G        112G
2023-07-29 18:18:42  Mem:           125G         11G        110G        1.1M        2.8G        112G
2023-07-29 18:18:45  Mem:           125G         11G        110G        1.1M        2.9G        112G
2023-07-29 18:18:49  Mem:           125G         11G        110G        1.1M        2.9G        112G
2023-07-29 18:18:54  Mem:           125G         11G        110G        1.1M        2.9G        112G
2023-07-29 18:18:57  Mem:           125G         11G        110G        1.1M        2.9G        112G
2023-07-29 18:19:00  Mem:           125G         11G        110G        1.1M        2.9G        112G
2023-07-29 18:19:07  Mem:           125G         11G        110G        1.1M        2.9G        112G
2023-07-29 18:19:10  Mem:           125G         11G        110G        1.1M        2.9G        112G
2023-07-29 18:19:13  Mem:           125G         11G        110G        1.1M        2.9G        112G
2023-07-29 18:19:16  Mem:           125G         11G        110G        1.1M        2.9G        112G
2023-07-29 18:19:19  Mem:           125G         11G        110G        1.1M        3.0G        112G
2023-07-29 18:19:22  Mem:           125G         11G        110G        1.1M        3.0G        112G
2023-07-29 18:19:25  Mem:           125G         11G        110G        1.1M        3.0G        112G
2023-07-29 18:20:13  Mem:           125G         11G        110G        1.1M        3.1G        112G
2023-07-29 18:20:16  Mem:           125G         11G        110G        1.1M        3.1G        112G
2023-07-29 18:20:21  Mem:           125G         11G        110G        1.1M        3.2G        112G
2023-07-29 18:20:24  Mem:           125G         11G        110G        1.1M        3.2G        112G
2023-07-29 18:20:27  Mem:           125G         11G        110G        1.1M        3.2G        112G
2023-07-29 18:20:30  Mem:           125G         11G        110G        1.1M        3.2G        112G
2023-07-29 18:20:33  Mem:           125G         11G        110G        1.1M        3.2G        112G
2023-07-29 18:20:36  Mem:           125G         11G        110G        1.1M        3.2G        112G
2023-07-29 18:20:39  Mem:           125G         11G        110G        1.1M        3.2G        112G
2023-07-29 18:20:42  Mem:           125G         11G        110G        1.1M        3.2G        112G
2023-07-29 18:20:45  Mem:           125G         11G        110G        1.1M        3.2G        112G
2023-07-29 18:20:49  Mem:           125G         11G        109G        1.1M        3.3G        112G
2023-07-29 18:20:52  Mem:           125G         11G        109G        1.1M        3.3G        112G
2023-07-29 18:20:55  Mem:           125G         11G        109G        1.1M        3.3G        112G
2023-07-29 18:20:58  Mem:           125G         11G        109G        1.1M        3.3G        112G
2023-07-29 18:21:01  Mem:           125G         11G        109G        1.1M        3.3G        112G
2023-07-29 18:21:04  Mem:           125G         11G        109G        1.1M        3.3G        112G
2023-07-29 18:21:07  Mem:           125G         11G        109G        1.1M        3.3G        112G
2023-07-29 18:21:10  Mem:           125G         11G        109G        1.1M        3.3G        112G
2023-07-29 18:21:15  Mem:           125G         11G        109G        1.1M        3.3G        112G
2023-07-29 18:21:18  Mem:           125G         12G        109G        1.1M        3.4G        112G
2023-07-29 18:21:21  Mem:           125G         12G        109G        1.1M        3.4G        112G
2023-07-29 18:21:24  Mem:           125G         12G        109G        1.1M        3.4G        112G
2023-07-29 18:21:30  Mem:           125G         12G        109G        1.1M        3.4G        112G
2023-07-29 18:21:33  Mem:           125G         12G        109G        1.1M        3.4G        112G
2023-07-29 18:21:36  Mem:           125G         12G        109G        1.1M        3.4G        112G
2023-07-29 18:21:41  Mem:           125G         12G        109G        1.1M        3.4G        112G
2023-07-29 18:21:44  Mem:           125G         12G        109G        1.1M        3.4G        112G
2023-07-29 18:21:47  Mem:           125G         12G        109G        1.1M        3.5G        112G
2023-07-29 18:21:50  Mem:           125G         12G        109G        1.1M        3.5G        112G
2023-07-29 18:21:53  Mem:           125G         12G        109G        1.1M        3.5G        112G
2023-07-29 18:21:56  Mem:           125G         12G        109G        1.1M        3.5G        112G
2023-07-29 18:21:59  Mem:           125G         12G        109G        1.1M        3.5G        112G
2023-07-29 18:22:02  Mem:           125G         12G        109G        1.1M        3.5G        112G
2023-07-29 18:22:07  Mem:           125G         12G        109G        1.1M        3.5G        112G
2023-07-29 18:22:10  Mem:           125G         12G        109G        1.1M        3.5G        112G
2023-07-29 18:22:13  Mem:           125G         12G        109G        1.1M        3.5G        112G
2023-07-29 18:22:16  Mem:           125G         12G        109G        1.1M        3.5G        112G
2023-07-29 18:22:19  Mem:           125G         12G        109G        1.1M        3.6G        112G
2023-07-29 18:22:22  Mem:           125G         12G        109G        1.1M        3.6G        111G
2023-07-29 18:24:17  Mem:           125G         12G        108G        1.1M        3.9G        111G
2023-07-29 18:24:20  Mem:           125G         12G        108G        1.1M        4.0G        111G
2023-07-29 18:24:24  Mem:           125G         12G        108G        1.1M        4.0G        111G
2023-07-29 18:24:27  Mem:           125G         12G        108G        1.1M        4.0G        111G
2023-07-29 18:24:30  Mem:           125G         12G        108G        1.1M        4.0G        111G
2023-07-29 18:24:33  Mem:           125G         12G        108G        1.1M        4.0G        111G
2023-07-29 18:24:37  Mem:           125G         12G        108G        1.1M        4.0G        111G
2023-07-29 18:24:40  Mem:           125G         12G        108G        1.1M        4.0G        111G
2023-07-29 18:24:43  Mem:           125G         12G        108G        1.1M        4.0G        111G
2023-07-29 18:24:46  Mem:           125G         12G        108G        1.1M        4.0G        111G
2023-07-29 18:24:50  Mem:           125G         12G        108G        1.1M        4.0G        111G
2023-07-29 18:24:53  Mem:           125G         12G        108G        1.1M        4.1G        111G
2023-07-29 18:24:56  Mem:           125G         12G        108G        1.1M        4.1G        111G
2023-07-29 18:24:59  Mem:           125G         12G        108G        1.1M        4.1G        111G
2023-07-29 18:25:02  Mem:           125G         12G        108G        1.1M        4.1G        111G
2023-07-29 18:25:05  Mem:           125G         12G        108G        1.1M        4.1G        111G
2023-07-29 18:25:08  Mem:           125G         12G        108G        1.1M        4.1G        111G
2023-07-29 18:25:13  Mem:           125G         12G        108G        1.1M        4.1G        111G
2023-07-29 18:25:16  Mem:           125G         12G        108G        1.1M        4.1G        111G
2023-07-29 18:25:19  Mem:           125G         12G        108G        1.1M        4.1G        111G
2023-07-29 18:25:22  Mem:           125G         12G        108G        1.1M        4.2G        111G
2023-07-29 18:25:25  Mem:           125G         12G        108G        1.1M        4.2G        111G
2023-07-29 18:25:28  Mem:           125G         12G        108G        1.1M        4.2G        111G
2023-07-29 18:25:31  Mem:           125G         12G        108G        1.1M        4.2G        111G
2023-07-29 18:25:34  Mem:           125G         12G        108G        1.1M        4.2G        111G
2023-07-29 18:25:37  Mem:           125G         12G        108G        1.1M        4.2G        111G
2023-07-29 18:25:40  Mem:           125G         12G        108G        1.1M        4.2G        111G
2023-07-29 18:25:43  Mem:           125G         12G        108G        1.1M        4.2G        111G
2023-07-29 18:25:46  Mem:           125G         12G        108G        1.1M        4.2G        111G
2023-07-29 18:25:49  Mem:           125G         12G        108G        1.1M        4.2G        111G
2023-07-29 18:25:52  Mem:           125G         12G        107G        1.1M        4.2G        111G
2023-07-29 18:25:55  Mem:           125G         12G        107G        1.1M        4.3G        111G
2023-07-29 18:25:58  Mem:           125G         12G        107G        1.1M        4.3G        111G
2023-07-29 18:26:01  Mem:           125G         12G        107G        1.1M        4.3G        111G
2023-07-29 18:26:04  Mem:           125G         12G        107G        1.1M        4.3G        111G
2023-07-29 18:26:07  Mem:           125G         12G        107G        1.1M        4.3G        111G
2023-07-29 18:26:10  Mem:           125G         12G        107G        1.1M        4.3G        111G
2023-07-29 18:26:13  Mem:           125G         12G        107G        1.1M        4.3G        111G
2023-07-29 18:26:16  Mem:           125G         12G        107G        1.1M        4.3G        111G
2023-07-29 18:26:19  Mem:           125G         12G        107G        1.1M        4.3G        111G
2023-07-29 18:26:22  Mem:           125G         13G        107G        1.1M        4.3G        111G
2023-07-29 18:26:25  Mem:           125G         13G        107G        1.1M        4.4G        111G
2023-07-29 18:26:28  Mem:           125G         13G        107G        1.1M        4.4G        111G
2023-07-29 18:26:31  Mem:           125G         13G        107G        1.1M        4.4G        111G
2023-07-29 18:26:34  Mem:           125G         13G        107G        1.1M        4.4G        111G
2023-07-29 18:26:37  Mem:           125G         13G        107G        1.1M        4.4G        111G
2023-07-29 18:26:43  Mem:           125G         13G        107G        1.1M        4.4G        111G
2023-07-29 18:26:46  Mem:           125G         13G        107G        1.1M        4.4G        111G
2023-07-29 18:26:50  Mem:           125G         13G        107G        1.1M        4.4G        111G
2023-07-29 18:26:53  Mem:           125G         13G        107G        1.1M        4.5G        111G
2023-07-29 18:26:56  Mem:           125G         13G        107G        1.1M        4.5G        111G
2023-07-29 18:26:59  Mem:           125G         13G        107G        1.1M        4.5G        111G
2023-07-29 18:27:05  Mem:           125G         13G        107G        1.1M        4.5G        111G
2023-07-29 18:27:08  Mem:           125G         13G        107G        1.1M        4.5G        111G
2023-07-29 18:27:11  Mem:           125G         13G        107G        1.1M        4.5G        111G
2023-07-29 18:27:14  Mem:           125G         13G        107G        1.1M        4.5G        111G
2023-07-29 18:27:19  Mem:           125G         13G        107G        1.1M        4.5G        111G
2023-07-29 18:27:22  Mem:           125G         13G        107G        1.1M        4.5G        111G
2023-07-29 18:27:25  Mem:           125G         13G        107G        1.1M        4.6G        111G
2023-07-29 18:27:28  Mem:           125G         13G        107G        1.1M        4.6G        110G
2023-07-29 18:27:31  Mem:           125G         13G        107G        1.1M        4.6G        110G
2023-07-29 18:27:34  Mem:           125G         13G        107G        1.1M        4.6G        110G
2023-07-29 18:27:38  Mem:           125G         13G        107G        1.1M        4.6G        110G
2023-07-29 18:27:41  Mem:           125G         13G        107G        1.1M        4.6G        110G
2023-07-29 18:27:44  Mem:           125G         13G        107G        1.1M        4.6G        110G
2023-07-29 18:27:48  Mem:           125G         13G        107G        1.1M        4.6G        110G
2023-07-29 18:27:51  Mem:           125G         13G        107G        1.1M        4.6G        110G
2023-07-29 18:27:55  Mem:           125G         13G        107G        1.1M        4.7G        110G
2023-07-29 18:27:58  Mem:           125G         13G        107G        1.1M        4.7G        110G
2023-07-29 18:28:01  Mem:           125G         13G        107G        1.1M        4.7G        110G
2023-07-29 18:28:04  Mem:           125G         13G        107G        1.1M        4.7G        110G
2023-07-29 18:28:08  Mem:           125G         13G        107G        1.1M        4.7G        110G
2023-07-29 18:28:11  Mem:           125G         13G        107G        1.1M        4.7G        110G
2023-07-29 18:28:14  Mem:           125G         13G        107G        1.1M        4.7G        110G
2023-07-29 18:28:17  Mem:           125G         13G        107G        1.1M        4.7G        110G
2023-07-29 18:28:20  Mem:           125G         13G        107G        1.1M        4.7G        110G
2023-07-29 18:28:23  Mem:           125G         13G        107G        1.1M        4.7G        110G
2023-07-29 18:28:26  Mem:           125G         13G        106G        1.1M        4.8G        110G
2023-07-29 18:28:29  Mem:           125G         13G        106G        1.1M        4.8G        110G
2023-07-29 18:28:32  Mem:           125G         13G        106G        1.1M        4.8G        110G
2023-07-29 18:28:35  Mem:           125G         13G        106G        1.1M        4.8G        110G
2023-07-29 18:28:38  Mem:           125G         13G        106G        1.1M        4.8G        110G
2023-07-29 18:28:41  Mem:           125G         13G        106G        1.1M        4.8G        110G
2023-07-29 18:28:44  Mem:           125G         13G        106G        1.1M        4.8G        110G
2023-07-29 18:28:47  Mem:           125G         13G        106G        1.1M        4.8G        110G
2023-07-29 18:28:50  Mem:           125G         13G        106G        1.1M        4.8G        110G
2023-07-29 18:28:53  Mem:           125G         13G        106G        1.1M        4.8G        110G
2023-07-29 18:28:56  Mem:           125G         13G        106G        1.1M        4.9G        110G
2023-07-29 18:28:59  Mem:           125G         13G        106G        1.1M        4.9G        110G
2023-07-29 18:29:03  Mem:           125G         13G        106G        1.1M        4.9G        110G
2023-07-29 18:29:06  Mem:           125G         13G        106G        1.1M        4.9G        110G
2023-07-29 18:29:10  Mem:           125G         13G        106G        1.1M        4.9G        110G
2023-07-29 18:29:13  Mem:           125G         13G        106G        1.1M        4.9G        110G
2023-07-29 18:29:16  Mem:           125G         13G        106G        1.1M        4.9G        110G
2023-07-29 18:29:19  Mem:           125G         13G        106G        1.1M        4.9G        110G
2023-07-29 18:29:23  Mem:           125G         13G        106G        1.1M        4.9G        110G
2023-07-29 18:29:26  Mem:           125G         13G        106G        1.1M        5.0G        110G
2023-07-29 18:29:29  Mem:           125G         13G        106G        1.1M        5.0G        110G
2023-07-29 18:29:32  Mem:           125G         13G        106G        1.1M        5.0G        110G
2023-07-29 18:29:37  Mem:           125G         13G        106G        1.1M        5.0G        110G
2023-07-29 18:29:40  Mem:           125G         13G        106G        1.1M        5.0G        110G
2023-07-29 18:29:43  Mem:           125G         13G        106G        1.1M        5.0G        110G
2023-07-29 18:29:46  Mem:           125G         13G        106G        1.1M        5.0G        110G
2023-07-29 18:29:49  Mem:           125G         13G        106G        1.1M        5.0G        110G
2023-07-29 18:29:55  Mem:           125G         13G        106G        1.1M        5.0G        110G
2023-07-29 18:29:58  Mem:           125G         13G        106G        1.1M        5.1G        110G
2023-07-29 18:30:01  Mem:           125G         13G        106G        1.1M        5.1G        110G
2023-07-29 18:30:05  Mem:           125G         13G        106G        1.1M        5.1G        110G
2023-07-29 18:30:08  Mem:           125G         13G        106G        1.1M        5.1G        110G
2023-07-29 18:30:11  Mem:           125G         13G        106G        1.1M        5.1G        110G
2023-07-29 18:30:14  Mem:           125G         13G        106G        1.1M        5.1G        110G
2023-07-29 18:30:17  Mem:           125G         13G        106G        1.1M        5.1G        110G
2023-07-29 18:30:20  Mem:           125G         13G        106G        1.1M        5.1G        110G
2023-07-29 18:30:24  Mem:           125G         13G        106G        1.1M        5.1G        110G
2023-07-29 18:30:27  Mem:           125G         13G        106G        1.1M        5.1G        110G
2023-07-29 18:30:30  Mem:           125G         13G        106G        1.1M        5.2G        110G
2023-07-29 18:30:33  Mem:           125G         13G        106G        1.1M        5.2G        110G
2023-07-29 18:30:39  Mem:           125G         13G        106G        1.1M        5.2G        110G
2023-07-29 18:30:42  Mem:           125G         13G        106G        1.1M        5.2G        110G
2023-07-29 18:30:45  Mem:           125G         13G        106G        1.1M        5.2G        110G
2023-07-29 18:30:48  Mem:           125G         13G        106G        1.1M        5.2G        110G
2023-07-29 18:30:51  Mem:           125G         13G        106G        1.1M        5.2G        110G
2023-07-29 18:30:57  Mem:           125G         13G        106G        1.1M        5.2G        110G
2023-07-29 18:31:00  Mem:           125G         13G        105G        1.1M        5.3G        110G
2023-07-29 18:31:03  Mem:           125G         13G        105G        1.1M        5.3G        110G
2023-07-29 18:31:06  Mem:           125G         13G        105G        1.1M        5.3G        110G
2023-07-29 18:31:11  Mem:           125G         13G        105G        1.1M        5.3G        110G
2023-07-29 18:31:14  Mem:           125G         13G        105G        1.1M        5.3G        110G
2023-07-29 18:31:17  Mem:           125G         13G        105G        1.1M        5.3G        110G
2023-07-29 18:31:20  Mem:           125G         13G        105G        1.1M        5.3G        110G
2023-07-29 18:31:25  Mem:           125G         13G        105G        1.1M        5.3G        110G
2023-07-29 18:31:28  Mem:           125G         13G        105G        1.1M        5.4G        110G
2023-07-29 18:31:31  Mem:           125G         13G        105G        1.1M        5.4G        110G
2023-07-29 18:31:34  Mem:           125G         14G        105G        1.1M        5.4G        110G
2023-07-29 18:31:38  Mem:           125G         14G        105G        1.1M        5.4G        110G
2023-07-29 18:31:41  Mem:           125G         14G        105G        1.1M        5.4G        110G
2023-07-29 18:31:44  Mem:           125G         14G        105G        1.1M        5.4G        110G
2023-07-29 18:31:47  Mem:           125G         14G        105G        1.1M        5.4G        110G
2023-07-29 18:31:51  Mem:           125G         14G        105G        1.1M        5.4G        110G
