time               total        used        free      shared  buff/cache   available
2023-07-30 13:45:23  Mem:           125G         18G         95G        1.1M         10G        105G
2023-07-30 13:45:26  Mem:           125G         18G         95G        1.1M         10G        105G
2023-07-30 13:45:29  Mem:           125G         18G         95G        1.1M         10G        105G
2023-07-30 13:45:32  Mem:           125G         18G         95G        1.1M         10G        105G
2023-07-30 13:45:35  Mem:           125G         18G         95G        1.1M         10G        105G
2023-07-30 13:45:38  Mem:           125G         18G         95G        1.1M         11G        105G
2023-07-30 13:45:41  Mem:           125G         18G         95G        1.1M         11G        105G
2023-07-30 13:45:44  Mem:           125G         18G         94G        1.1M         11G        105G
2023-07-30 13:45:47  Mem:           125G         19G         94G        1.1M         11G        105G
2023-07-30 13:45:50  Mem:           125G         19G         94G        1.1M         11G        104G
2023-07-30 13:45:53  Mem:           125G         19G         94G        1.1M         11G        104G
2023-07-30 13:45:56  Mem:           125G         19G         94G        1.1M         11G        104G
2023-07-30 13:45:59  Mem:           125G         19G         94G        1.1M         11G        104G
2023-07-30 13:46:02  Mem:           125G         19G         94G        1.1M         11G        104G
2023-07-30 13:46:05  Mem:           125G         19G         94G        1.1M         11G        104G
2023-07-30 13:46:08  Mem:           125G         19G         94G        1.1M         11G        104G
2023-07-30 13:46:11  Mem:           125G         19G         93G        1.1M         11G        104G
2023-07-30 13:46:14  Mem:           125G         19G         93G        1.1M         11G        104G
2023-07-30 13:46:17  Mem:           125G         19G         93G        1.1M         11G        104G
2023-07-30 13:46:20  Mem:           125G         19G         93G        1.1M         11G        104G
2023-07-30 13:46:23  Mem:           125G         19G         93G        1.1M         11G        104G
2023-07-30 13:46:26  Mem:           125G         19G         93G        1.1M         11G        104G
2023-07-30 13:46:29  Mem:           125G         19G         93G        1.1M         12G        104G
2023-07-30 13:46:32  Mem:           125G         19G         93G        1.1M         12G        104G
2023-07-30 13:46:35  Mem:           125G         19G         93G        1.1M         12G        104G
2023-07-30 13:46:38  Mem:           125G         19G         92G        1.1M         12G        104G
2023-07-30 13:46:41  Mem:           125G         20G         92G        1.1M         12G        104G
2023-07-30 13:46:44  Mem:           125G         20G         92G        1.1M         12G        103G
2023-07-30 13:46:47  Mem:           125G         20G         92G        1.1M         12G        103G
2023-07-30 13:46:50  Mem:           125G         20G         92G        1.1M         12G        103G
2023-07-30 13:46:53  Mem:           125G         20G         92G        1.1M         12G        103G
2023-07-30 13:46:56  Mem:           125G         20G         92G        1.1M         12G        103G
2023-07-30 13:46:59  Mem:           125G         20G         92G        1.1M         12G        103G
2023-07-30 13:47:02  Mem:           125G         20G         91G        1.1M         12G        103G
2023-07-30 13:47:05  Mem:           125G         20G         91G        1.1M         12G        103G
2023-07-30 13:47:08  Mem:           125G         20G         91G        1.1M         12G        103G
2023-07-30 13:47:11  Mem:           125G         20G         91G        1.1M         12G        103G
2023-07-30 13:47:14  Mem:           125G         20G         91G        1.1M         13G        103G
2023-07-30 13:47:17  Mem:           125G         20G         91G        1.1M         13G        103G
2023-07-30 13:47:20  Mem:           125G         20G         91G        1.1M         13G        103G
2023-07-30 13:47:23  Mem:           125G         20G         91G        1.1M         13G        103G
