time               total        used        free      shared  buff/cache   available
2023-07-31 22:46:04  Mem:           125G         19G         92G        1.1M         13G        105G
2023-07-31 22:46:07  Mem:           125G         19G         92G        1.1M         13G        105G
2023-07-31 22:46:10  Mem:           125G         19G         92G        1.1M         13G        104G
2023-07-31 22:46:13  Mem:           125G         19G         92G        1.1M         13G        104G
2023-07-31 22:46:16  Mem:           125G         19G         92G        1.1M         13G        104G
2023-07-31 22:46:19  Mem:           125G         19G         92G        1.1M         13G        104G
2023-07-31 22:46:22  Mem:           125G         19G         92G        1.1M         13G        104G
2023-07-31 22:46:25  Mem:           125G         19G         92G        1.1M         13G        104G
2023-07-31 22:46:28  Mem:           125G         19G         92G        1.1M         13G        104G
2023-07-31 22:46:31  Mem:           125G         19G         92G        1.1M         13G        104G
2023-07-31 22:46:34  Mem:           125G         19G         92G        1.1M         13G        104G
2023-07-31 22:46:37  Mem:           125G         19G         92G        1.1M         13G        104G
2023-07-31 22:46:40  Mem:           125G         19G         92G        1.1M         13G        104G
2023-07-31 22:46:43  Mem:           125G         19G         92G        1.1M         13G        104G
2023-07-31 22:46:46  Mem:           125G         19G         92G        1.1M         13G        104G
2023-07-31 22:46:49  Mem:           125G         19G         92G        1.1M         13G        104G
2023-07-31 22:46:52  Mem:           125G         19G         92G        1.1M         13G        104G
2023-07-31 22:46:55  Mem:           125G         19G         91G        1.1M         13G        104G
2023-07-31 22:46:58  Mem:           125G         19G         91G        1.1M         13G        104G
2023-07-31 22:47:01  Mem:           125G         19G         91G        1.1M         13G        104G
2023-07-31 22:47:04  Mem:           125G         19G         91G        1.1M         13G        104G
2023-07-31 22:47:07  Mem:           125G         19G         91G        1.1M         13G        104G
2023-07-31 22:47:10  Mem:           125G         19G         91G        1.1M         13G        104G
2023-07-31 22:47:13  Mem:           125G         19G         91G        1.1M         13G        104G
2023-07-31 22:47:16  Mem:           125G         19G         91G        1.1M         13G        104G
2023-07-31 22:47:19  Mem:           125G         19G         91G        1.1M         13G        104G
2023-07-31 22:47:22  Mem:           125G         19G         91G        1.1M         13G        104G
2023-07-31 22:47:25  Mem:           125G         19G         91G        1.1M         13G        104G
2023-07-31 22:47:28  Mem:           125G         19G         91G        1.1M         13G        104G
2023-07-31 22:47:31  Mem:           125G         19G         91G        1.1M         13G        104G
2023-07-31 22:47:34  Mem:           125G         19G         91G        1.1M         13G        104G
2023-07-31 22:47:37  Mem:           125G         19G         91G        1.1M         13G        104G
2023-07-31 22:47:40  Mem:           125G         20G         91G        1.1M         14G        104G
2023-07-31 22:47:43  Mem:           125G         20G         91G        1.1M         14G        104G
2023-07-31 22:47:46  Mem:           125G         20G         91G        1.1M         14G        104G
2023-07-31 22:47:49  Mem:           125G         20G         90G        1.1M         14G        104G
2023-07-31 22:47:52  Mem:           125G         20G         90G        1.1M         14G        104G
2023-07-31 22:47:55  Mem:           125G         20G         90G        1.1M         14G        104G
2023-07-31 22:47:58  Mem:           125G         20G         90G        1.1M         14G        104G
2023-07-31 22:48:04  Mem:           125G         20G         90G        1.1M         14G        104G
2023-07-31 22:48:07  Mem:           125G         20G         90G        1.1M         14G        103G
2023-07-31 22:48:10  Mem:           125G         20G         90G        1.1M         14G        103G
2023-07-31 22:48:13  Mem:           125G         20G         90G        1.1M         14G        103G
2023-07-31 22:48:16  Mem:           125G         20G         90G        1.1M         14G        103G
2023-07-31 22:48:19  Mem:           125G         20G         90G        1.1M         14G        103G
2023-07-31 22:48:22  Mem:           125G         20G         90G        1.1M         14G        103G
2023-07-31 22:48:25  Mem:           125G         20G         90G        1.1M         14G        103G
2023-07-31 22:48:28  Mem:           125G         20G         90G        1.1M         14G        103G
2023-07-31 22:48:31  Mem:           125G         20G         90G        1.1M         14G        103G
2023-07-31 22:48:34  Mem:           125G         20G         90G        1.1M         14G        103G
2023-07-31 22:48:37  Mem:           125G         20G         90G        1.1M         14G        103G
2023-07-31 22:48:40  Mem:           125G         20G         90G        1.1M         14G        103G
2023-07-31 22:48:43  Mem:           125G         20G         89G        1.1M         14G        103G
2023-07-31 22:48:46  Mem:           125G         20G         89G        1.1M         14G        103G
2023-07-31 22:48:49  Mem:           125G         20G         89G        1.1M         14G        103G
2023-07-31 22:48:52  Mem:           125G         20G         89G        1.1M         14G        103G
2023-07-31 22:48:55  Mem:           125G         20G         89G        1.1M         14G        103G
2023-07-31 22:48:58  Mem:           125G         20G         89G        1.1M         14G        103G
2023-07-31 22:49:01  Mem:           125G         20G         89G        1.1M         14G        103G
2023-07-31 22:49:04  Mem:           125G         20G         89G        1.1M         14G        103G
2023-07-31 22:49:07  Mem:           125G         20G         89G        1.1M         14G        103G
2023-07-31 22:49:10  Mem:           125G         20G         89G        1.1M         14G        103G
2023-07-31 22:49:13  Mem:           125G         20G         89G        1.1M         14G        103G
2023-07-31 22:49:16  Mem:           125G         20G         89G        1.1M         14G        103G
2023-07-31 22:49:19  Mem:           125G         20G         89G        1.1M         15G        103G
2023-07-31 22:49:22  Mem:           125G         20G         89G        1.1M         15G        103G
2023-07-31 22:49:25  Mem:           125G         20G         89G        1.1M         15G        103G
2023-07-31 22:49:28  Mem:           125G         20G         89G        1.1M         15G        103G
2023-07-31 22:49:31  Mem:           125G         20G         89G        1.1M         15G        103G
2023-07-31 22:49:34  Mem:           125G         20G         88G        1.1M         15G        103G
2023-07-31 22:49:37  Mem:           125G         21G         88G        1.1M         15G        103G
2023-07-31 22:49:40  Mem:           125G         21G         88G        1.1M         15G        103G
2023-07-31 22:49:43  Mem:           125G         21G         88G        1.1M         15G        103G
2023-07-31 22:49:46  Mem:           125G         21G         88G        1.1M         15G        103G
2023-07-31 22:49:49  Mem:           125G         21G         88G        1.1M         15G        103G
2023-07-31 22:49:52  Mem:           125G         21G         88G        1.1M         15G        103G
2023-07-31 22:49:55  Mem:           125G         21G         88G        1.1M         15G        103G
2023-07-31 22:49:58  Mem:           125G         21G         88G        1.1M         15G        103G
2023-07-31 22:50:01  Mem:           125G         21G         88G        1.1M         15G        102G
2023-07-31 22:50:04  Mem:           125G         21G         88G        1.1M         15G        102G
2023-07-31 22:50:07  Mem:           125G         21G         88G        1.1M         15G        102G
2023-07-31 22:50:10  Mem:           125G         21G         88G        1.1M         15G        102G
2023-07-31 22:50:13  Mem:           125G         21G         88G        1.1M         15G        102G
2023-07-31 22:50:16  Mem:           125G         21G         88G        1.1M         15G        102G
2023-07-31 22:50:19  Mem:           125G         21G         88G        1.1M         15G        102G
2023-07-31 22:50:22  Mem:           125G         21G         88G        1.1M         15G        102G
2023-07-31 22:50:25  Mem:           125G         21G         88G        1.1M         15G        102G
2023-07-31 22:50:28  Mem:           125G         21G         87G        1.1M         15G        102G
2023-07-31 22:50:31  Mem:           125G         21G         87G        1.1M         15G        102G
2023-07-31 22:50:34  Mem:           125G         21G         87G        1.1M         15G        102G
2023-07-31 22:50:37  Mem:           125G         21G         87G        1.1M         15G        102G
2023-07-31 22:50:40  Mem:           125G         21G         87G        1.1M         15G        102G
2023-07-31 22:50:43  Mem:           125G         21G         87G        1.1M         15G        102G
2023-07-31 22:50:46  Mem:           125G         21G         87G        1.1M         15G        102G
2023-07-31 22:50:49  Mem:           125G         21G         87G        1.1M         15G        102G
2023-07-31 22:50:52  Mem:           125G         21G         87G        1.1M         15G        102G
2023-07-31 22:50:55  Mem:           125G         21G         87G        1.1M         15G        102G
2023-07-31 22:50:58  Mem:           125G         21G         87G        1.1M         16G        102G
2023-07-31 22:51:01  Mem:           125G         21G         87G        1.1M         16G        102G
2023-07-31 22:51:04  Mem:           125G         21G         87G        1.1M         16G        102G
2023-07-31 22:51:07  Mem:           125G         21G         87G        1.1M         16G        102G
2023-07-31 22:51:10  Mem:           125G         21G         87G        1.1M         16G        102G
2023-07-31 22:51:13  Mem:           125G         21G         87G        1.1M         16G        102G
2023-07-31 22:51:16  Mem:           125G         21G         87G        1.1M         16G        102G
2023-07-31 22:51:19  Mem:           125G         21G         86G        1.1M         16G        102G
2023-07-31 22:51:23  Mem:           125G         21G         86G        1.1M         16G        102G
2023-07-31 22:51:26  Mem:           125G         21G         86G        1.1M         16G        102G
2023-07-31 22:51:29  Mem:           125G         21G         86G        1.1M         16G        102G
2023-07-31 22:51:32  Mem:           125G         22G         86G        1.1M         16G        102G
2023-07-31 22:51:35  Mem:           125G         22G         86G        1.1M         16G        102G
2023-07-31 22:51:38  Mem:           125G         22G         86G        1.1M         16G        102G
2023-07-31 22:51:41  Mem:           125G         22G         86G        1.1M         16G        102G
2023-07-31 22:51:44  Mem:           125G         22G         86G        1.1M         16G        102G
2023-07-31 22:51:47  Mem:           125G         22G         86G        1.1M         16G        102G
2023-07-31 22:51:50  Mem:           125G         22G         86G        1.1M         16G        102G
2023-07-31 22:51:53  Mem:           125G         22G         86G        1.1M         16G        101G
2023-07-31 22:51:56  Mem:           125G         22G         86G        1.1M         16G        101G
2023-07-31 22:51:59  Mem:           125G         22G         86G        1.1M         16G        101G
2023-07-31 22:52:02  Mem:           125G         22G         86G        1.1M         16G        101G
2023-07-31 22:52:05  Mem:           125G         22G         86G        1.1M         16G        101G
2023-07-31 22:52:08  Mem:           125G         22G         86G        1.1M         16G        101G
2023-07-31 22:52:11  Mem:           125G         22G         86G        1.1M         16G        101G
2023-07-31 22:52:14  Mem:           125G         22G         85G        1.1M         16G        101G
2023-07-31 22:52:17  Mem:           125G         22G         85G        1.1M         16G        101G
2023-07-31 22:52:20  Mem:           125G         22G         85G        1.1M         16G        101G
2023-07-31 22:52:23  Mem:           125G         22G         85G        1.1M         16G        101G
2023-07-31 22:52:26  Mem:           125G         22G         85G        1.1M         16G        101G
2023-07-31 22:52:29  Mem:           125G         22G         85G        1.1M         16G        101G
2023-07-31 22:52:32  Mem:           125G         22G         85G        1.1M         16G        101G
2023-07-31 22:52:35  Mem:           125G         22G         85G        1.1M         17G        101G
2023-07-31 22:52:38  Mem:           125G         22G         85G        1.1M         17G        101G
2023-07-31 22:52:41  Mem:           125G         22G         85G        1.1M         17G        101G
2023-07-31 22:52:44  Mem:           125G         22G         85G        1.1M         17G        101G
2023-07-31 22:52:47  Mem:           125G         22G         85G        1.1M         17G        101G
2023-07-31 22:52:50  Mem:           125G         22G         85G        1.1M         17G        101G
2023-07-31 22:52:53  Mem:           125G         22G         85G        1.1M         17G        101G
2023-07-31 22:52:56  Mem:           125G         22G         85G        1.1M         17G        101G
2023-07-31 22:52:59  Mem:           125G         22G         85G        1.1M         17G        101G
2023-07-31 22:53:02  Mem:           125G         22G         84G        1.1M         17G        101G
2023-07-31 22:53:05  Mem:           125G         22G         84G        1.1M         17G        101G
2023-07-31 22:53:08  Mem:           125G         22G         84G        1.1M         17G        101G
2023-07-31 22:53:11  Mem:           125G         22G         84G        1.1M         17G        101G
2023-07-31 22:53:14  Mem:           125G         22G         84G        1.1M         17G        101G
2023-07-31 22:53:17  Mem:           125G         22G         84G        1.1M         17G        101G
2023-07-31 22:53:20  Mem:           125G         23G         84G        1.1M         17G        101G
2023-07-31 22:53:23  Mem:           125G         23G         84G        1.1M         17G        101G
2023-07-31 22:53:26  Mem:           125G         23G         84G        1.1M         17G        101G
2023-07-31 22:53:29  Mem:           125G         23G         84G        1.1M         17G        101G
2023-07-31 22:53:32  Mem:           125G         23G         84G        1.1M         17G        101G
2023-07-31 22:53:35  Mem:           125G         23G         84G        1.1M         17G        101G
2023-07-31 22:53:38  Mem:           125G         23G         84G        1.1M         17G        101G
2023-07-31 22:53:41  Mem:           125G         23G         84G        1.1M         17G        101G
2023-07-31 22:53:44  Mem:           125G         23G         84G        1.1M         17G        100G
2023-07-31 22:53:47  Mem:           125G         23G         84G        1.1M         17G        100G
2023-07-31 22:53:50  Mem:           125G         23G         84G        1.1M         17G        100G
2023-07-31 22:53:53  Mem:           125G         23G         83G        1.1M         17G        100G
2023-07-31 22:53:56  Mem:           125G         23G         83G        1.1M         17G        100G
2023-07-31 22:53:59  Mem:           125G         23G         83G        1.1M         17G        100G
2023-07-31 22:54:02  Mem:           125G         23G         83G        1.1M         17G        100G
2023-07-31 22:54:05  Mem:           125G         23G         83G        1.1M         17G        100G
2023-07-31 22:54:08  Mem:           125G         23G         83G        1.1M         18G        100G
2023-07-31 22:54:11  Mem:           125G         23G         83G        1.1M         18G        100G
2023-07-31 22:54:14  Mem:           125G         23G         83G        1.1M         18G        100G
2023-07-31 22:54:17  Mem:           125G         23G         83G        1.1M         18G        100G
2023-07-31 22:54:20  Mem:           125G         23G         83G        1.1M         18G        100G
2023-07-31 22:54:23  Mem:           125G         23G         83G        1.1M         18G        100G
2023-07-31 22:54:26  Mem:           125G         23G         83G        1.1M         18G        100G
2023-07-31 22:54:29  Mem:           125G         23G         83G        1.1M         18G        100G
2023-07-31 22:54:32  Mem:           125G         23G         83G        1.1M         18G        100G
2023-07-31 22:54:35  Mem:           125G         23G         83G        1.1M         18G        100G
2023-07-31 22:54:38  Mem:           125G         23G         83G        1.1M         18G        100G
2023-07-31 22:54:41  Mem:           125G         23G         82G        1.1M         18G        100G
2023-07-31 22:54:44  Mem:           125G         23G         82G        1.1M         18G        100G
2023-07-31 22:54:47  Mem:           125G         23G         82G        1.1M         18G        100G
2023-07-31 22:54:50  Mem:           125G         23G         82G        1.1M         18G        100G
2023-07-31 22:54:53  Mem:           125G         23G         82G        1.1M         18G        100G
2023-07-31 22:54:56  Mem:           125G         23G         82G        1.1M         18G        100G
