time               total        used        free      shared  buff/cache   available
2023-07-31 17:47:36  Mem:           125G         32G         67G        1.1M         24G         91G
2023-07-31 17:47:39  Mem:           125G         32G         67G        1.1M         25G         91G
2023-07-31 17:47:42  Mem:           125G         32G         67G        1.1M         25G         91G
2023-07-31 17:47:45  Mem:           125G         32G         67G        1.1M         25G         91G
2023-07-31 17:47:48  Mem:           125G         32G         67G        1.1M         25G         91G
2023-07-31 17:47:51  Mem:           125G         32G         67G        1.1M         25G         91G
2023-07-31 17:47:54  Mem:           125G         32G         67G        1.1M         25G         91G
2023-07-31 17:47:57  Mem:           125G         32G         66G        1.1M         25G         91G
2023-07-31 17:48:00  Mem:           125G         32G         66G        1.1M         25G         91G
2023-07-31 17:48:03  Mem:           125G         32G         66G        1.1M         25G         91G
2023-07-31 17:48:06  Mem:           125G         32G         66G        1.1M         25G         91G
2023-07-31 17:48:09  Mem:           125G         33G         66G        1.1M         25G         91G
2023-07-31 17:48:12  Mem:           125G         33G         66G        1.1M         25G         91G
2023-07-31 17:48:15  Mem:           125G         33G         66G        1.1M         25G         91G
2023-07-31 17:48:18  Mem:           125G         33G         66G        1.1M         25G         90G
2023-07-31 17:48:21  Mem:           125G         33G         66G        1.1M         25G         90G
2023-07-31 17:48:24  Mem:           125G         33G         65G        1.1M         25G         90G
2023-07-31 17:48:27  Mem:           125G         33G         65G        1.1M         25G         90G
2023-07-31 17:48:30  Mem:           125G         33G         65G        1.1M         25G         90G
2023-07-31 17:48:33  Mem:           125G         33G         65G        1.1M         26G         90G
2023-07-31 17:48:36  Mem:           125G         33G         65G        1.1M         26G         90G
2023-07-31 17:48:39  Mem:           125G         33G         65G        1.1M         26G         90G
2023-07-31 17:48:42  Mem:           125G         33G         65G        1.1M         26G         90G
2023-07-31 17:48:45  Mem:           125G         33G         65G        1.1M         26G         90G
2023-07-31 17:48:48  Mem:           125G         33G         64G        1.1M         26G         90G
2023-07-31 17:48:51  Mem:           125G         33G         64G        1.1M         26G         90G
2023-07-31 17:48:54  Mem:           125G         34G         64G        1.1M         26G         90G
2023-07-31 17:48:57  Mem:           125G         34G         64G        1.1M         26G         90G
2023-07-31 17:49:00  Mem:           125G         34G         64G        1.1M         26G         90G
2023-07-31 17:49:03  Mem:           125G         34G         64G        1.1M         26G         89G
2023-07-31 17:49:07  Mem:           125G         34G         64G        1.1M         26G         89G
2023-07-31 17:49:10  Mem:           125G         34G         64G        1.1M         26G         89G
2023-07-31 17:49:13  Mem:           125G         34G         63G        1.1M         26G         89G
2023-07-31 17:49:16  Mem:           125G         34G         63G        1.1M         26G         89G
2023-07-31 17:49:19  Mem:           125G         34G         63G        1.1M         26G         89G
2023-07-31 17:49:22  Mem:           125G         34G         63G        1.1M         26G         89G
