      enp1s0      
 KB/s in  KB/s out
  151.86    345.89
  141.67    328.25
  145.22    335.57
  142.91    330.85
  169.42    389.27
  159.58    367.37
  148.27    338.20
  176.92    392.15
  147.55    335.52
  157.43    361.04
  134.85    308.44
  156.09    356.74
  154.10    357.08
  152.18    355.28
  154.18    358.99
  157.12    361.66
  154.01    360.09
  152.09    353.67
  155.04    361.00
  157.29    368.83
  146.49    341.19
  142.78    331.76
  166.81    388.57
  150.54    346.84
  158.30    367.22
  160.36    374.80
  150.49    350.28
  140.19    328.12
  160.58    378.92
  144.22    337.27
  157.69    362.99
  151.23    345.66
  144.49    331.84
  163.62    372.78
  148.95    340.98
  151.09    343.23
  158.98    359.64
  148.06    339.74
  164.20    380.87
  150.99    351.87
  168.04    390.59
  154.35    359.89
  161.04    378.70
  160.67    376.77
  147.73    347.46
  153.04    355.32
  154.55    359.89
  155.46    365.31
  157.66    370.47
  155.37    361.41
  160.76    374.21
  161.43    376.01
  161.65    376.35
  146.41    341.82
  155.18    360.55
  156.28    363.12
  140.77    326.98
  159.38    372.19
  148.15    345.66
  159.37    374.56
  154.82    363.59
  147.28    346.27
  161.69    377.40
  146.39    341.20
  153.94    352.97
  152.40    350.55
  150.62    347.96
  144.76    339.85
  154.10    358.77
  149.08    346.64
  155.75    361.43
  143.87    332.88
  160.48    364.43
  145.00    328.31
  158.94    359.30
  147.45    334.47
  155.47    351.52
  161.98    362.71
  167.64    382.14
  150.07    346.74
  151.91    352.44
  166.84    389.49
  145.26    337.33
  143.15    332.07
  153.41    359.27
  169.45    395.44
  150.38    349.86
  163.06    380.49
  154.64    357.91
  155.56    361.65
  154.23    363.41
  168.24    392.77
  144.39    338.80
  162.60    374.76
  143.66    332.56
  154.30    357.24
  153.76    356.73
  156.30    361.81
  162.12    379.23
  155.77    365.14
  161.28    380.10
  171.25    399.84
  172.06    402.84
  164.87    379.83
  141.18    326.11
  173.01    400.59
  150.06    345.15
  164.06    380.90
  164.37    380.42
  158.35    366.69
  160.55    378.13
  160.42    374.67
  155.54    365.21
  139.65    324.04
  153.76    359.48
  162.30    376.07
  160.13    375.21
  152.47    355.26
  147.26    342.08
  143.88    335.25
  147.02    343.52
  166.91    386.16
  149.80    346.94
  161.24    371.80
  173.31    402.64
  154.34    358.79
  164.62    386.38
  146.02    337.53
  166.24    385.91
  148.58    346.63
  149.96    347.55
  152.88    354.80
  154.61    353.39
  151.47    338.47
  155.92    347.33
  173.02    388.39
  147.43    331.97
  146.93    331.93
  157.13    359.29
  166.20    374.89
  144.71    328.91
  146.76    334.07
  163.41    368.97
  169.06    378.14
  171.93    389.43
  140.22    320.64
  149.62    336.72
  157.73    358.79
  159.00    362.61
  151.68    342.65
  154.47    345.15
  163.38    368.28
  171.71    382.68
  146.58    332.91
  153.16    350.30
  145.48    329.19
  161.68    374.03
  159.39    370.46
  174.83    395.66
  161.08    372.99
  151.84    347.39
  155.38    354.82
  167.76    376.61
  148.63    343.81
  165.39    375.04
  158.67    367.15
  160.74    373.54
  167.20    387.25
  144.94    337.38
  155.82    363.74
  152.43    347.26
  151.68    346.53
  150.47    350.23
  168.75    386.63
