time               total        used        free      shared  buff/cache   available
2023-07-29 14:24:57  Mem:           125G         15G        107G        1.1M        2.4G        109G
2023-07-29 14:25:01  Mem:           125G         15G        107G        1.1M        2.4G        109G
2023-07-29 14:25:04  Mem:           125G         15G        107G        1.1M        2.4G        109G
2023-07-29 14:25:07  Mem:           125G         15G        107G        1.1M        2.4G        109G
2023-07-29 14:25:10  Mem:           125G         15G        107G        1.1M        2.4G        109G
2023-07-29 14:25:13  Mem:           125G         15G        107G        1.1M        2.4G        109G
2023-07-29 14:25:35  Mem:           125G         15G        107G        1.1M        2.5G        108G
2023-07-29 14:25:38  Mem:           125G         15G        107G        1.1M        2.5G        108G
2023-07-29 14:25:41  Mem:           125G         15G        107G        1.1M        2.5G        108G
2023-07-29 14:25:45  Mem:           125G         15G        107G        1.1M        2.5G        108G
2023-07-29 14:25:48  Mem:           125G         15G        107G        1.1M        2.5G        108G
2023-07-29 14:25:51  Mem:           125G         15G        107G        1.1M        2.6G        108G
2023-07-29 14:25:54  Mem:           125G         15G        107G        1.1M        2.6G        108G
2023-07-29 14:25:57  Mem:           125G         15G        107G        1.1M        2.6G        108G
2023-07-29 14:26:02  Mem:           125G         15G        107G        1.1M        2.6G        108G
2023-07-29 14:26:05  Mem:           125G         15G        107G        1.1M        2.6G        108G
2023-07-29 14:26:08  Mem:           125G         15G        107G        1.1M        2.6G        108G
2023-07-29 14:26:11  Mem:           125G         15G        107G        1.1M        2.6G        108G
2023-07-29 14:26:15  Mem:           125G         15G        107G        1.1M        2.6G        108G
2023-07-29 14:26:18  Mem:           125G         15G        107G        1.1M        2.6G        108G
2023-07-29 14:26:21  Mem:           125G         15G        107G        1.1M        2.7G        108G
2023-07-29 14:26:27  Mem:           125G         15G        107G        1.1M        2.7G        108G
2023-07-29 14:26:30  Mem:           125G         15G        106G        1.1M        2.7G        108G
2023-07-29 14:26:33  Mem:           125G         15G        106G        1.1M        2.7G        108G
2023-07-29 14:26:36  Mem:           125G         15G        106G        1.1M        2.7G        108G
2023-07-29 14:26:39  Mem:           125G         15G        106G        1.1M        2.7G        108G
2023-07-29 14:26:42  Mem:           125G         15G        106G        1.1M        2.7G        108G
2023-07-29 14:26:45  Mem:           125G         15G        106G        1.1M        2.7G        108G
2023-07-29 14:26:48  Mem:           125G         15G        106G        1.1M        2.7G        108G
