Device             tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn
vda             275.69      5526.90        21.40    7283785      28204
vda             275.98      5533.68        21.36    7309333      28216
vda             276.22      5539.24        21.32    7333345      28228
vda             276.45      5544.58        21.27    7357105      28228
vda             276.64      5548.45        21.23    7378937      28240
vda             276.87      5553.90        21.19    7402905      28240
vda             277.16      5561.05        21.15    7429169      28252
vda             277.49      5568.69        21.10    7456081      28252
vda             277.78      5575.63        21.06    7482157      28264
vda             278.05      5581.32        21.02    7506597      28264
vda             278.37      5588.43        20.98    7532981      28280
vda             278.70      5596.06        20.94    7560053      28292
vda             279.02      5603.69        20.91    7587229      28316
vda             279.33      5610.70        20.87    7613609      28316
vda             279.61      5616.82        20.83    7638825      28324
vda             279.83      5621.70        20.78    7662377      28328
vda             280.10      5628.04        20.74    7687897      28332
vda             280.36      5634.02        20.71    7714889      28352
vda             280.63      5640.51        20.67    7740757      28360
vda             280.90      5647.39        20.62    7767141      28364
vda             281.21      5654.54        20.59    7793989      28376
vda             281.56      5662.04        20.55    7821377      28380
vda             281.82      5668.04        20.51    7846721      28396
vda             282.09      5674.62        20.47    7872909      28400
vda             282.35      5680.77        20.43    7898549      28412
vda             282.43      5682.63        20.39    7918173      28412
vda             282.64      5687.28        20.36    7941773      28424
vda             282.90      5692.95        20.31    7966829      28424
vda             283.16      5698.15        20.28    7991193      28436
vda             283.32      5702.21        20.23    8014053      28436
vda             283.52      5707.28        20.20    8038361      28448
vda             283.87      5715.45        20.16    8067077      28448
vda             284.11      5721.32        20.12    8092581      28460
vda             284.41      5728.19        20.08    8119541      28464
vda             284.70      5734.87        20.05    8146261      28484
vda             285.00      5742.31        20.01    8174069      28484
vda             285.21      5747.41        19.98    8198629      28496
vda             285.48      5753.48        19.93    8224593      28496
vda             285.77      5760.03        19.90    8251305      28508
vda             286.01      5766.39        19.86    8277769      28508
vda             286.26      5771.75        19.82    8302777      28516
vda             286.54      5778.08        19.78    8329273      28520
vda             286.82      5785.07        19.75    8356765      28532
vda             287.05      5790.67        19.71    8382281      28532
vda             287.20      5794.05        19.69    8404617      28568
vda             287.31      5796.85        19.66    8426073      28572
vda             287.55      5802.11        19.62    8451185      28584
vda             287.74      5807.19        19.58    8476065      28584
vda             288.07      5814.99        19.55    8504953      28596
vda             288.34      5822.20        19.52    8533009      28608
vda             288.53      5826.77        19.49    8557245      28616
vda             288.80      5833.55        19.45    8584761      28620
vda             289.04      5839.72        19.42    8611361      28632
vda             289.35      5846.91        19.38    8639569      28632
vda             289.62      5853.12        19.35    8666365      28644
vda             289.85      5858.86        19.31    8692497      28644
vda             290.11      5864.85        19.28    8719041      28668
vda             290.37      5871.27        19.24    8746257      28668
vda             290.52      5874.82        19.21    8769229      28676
vda             290.71      5879.56        19.18    8793941      28680
vda             290.85      5883.10        19.15    8816949      28692
vda             291.07      5888.35        19.11    8842537      28692
vda             291.33      5894.73        19.08    8869865      28704
vda             291.55      5900.87        19.04    8896805      28704
vda             291.82      5907.48        19.01    8924549      28716
vda             292.00      5911.90        18.97    8949013      28716
vda             292.21      5916.66        18.96    8974037      28756
vda             292.39      5921.36        18.92    8998981      28756
vda             292.60      5925.93        18.92    9023765      28812
vda             292.82      5931.38        18.88    9049861      28812
vda             293.03      5936.48        18.85    9075509      28824
vda             293.25      5941.91        18.82    9101697      28824
vda             293.46      5947.92        18.79    9128813      28836
vda             293.68      5952.83        18.75    9154265      28836
vda             293.81      5956.65        18.72    9178009      28848
vda             293.94      5960.31        18.69    9201589      28848
vda             294.24      5967.28        18.66    9230309      28860
vda             294.48      5973.50        18.67    9257905      28928
vda             294.68      5978.39        18.66    9283485      28976
vda             294.85      5982.64        18.65    9308093      29012
vda             295.10      5988.69        18.65    9335529      29068
vda             295.34      5994.62        18.65    9362821      29132
vda             295.51      5999.53        18.64    9388545      29164
vda             295.76      6005.35        18.60    9415673      29164
vda             296.00      6010.80        18.57    9442309      29176
vda             296.17      6015.31        18.54    9467489      29176
vda             296.37      6020.27        18.51    9493425      29188
vda             296.52      6024.33        18.47    9517965      29188
vda             296.72      6030.25        18.45    9545397      29200
vda             296.88      6034.16        18.41    9569761      29200
vda             297.00      6037.64        18.38    9593441      29212
vda             297.16      6042.48        18.35    9619321      29212
vda             297.36      6047.75        18.33    9645913      29236
vda             297.62      6054.83        18.30    9675373      29240
vda             297.85      6059.98        18.28    9701841      29264
vda             298.05      6065.17        18.25    9728413      29268
vda             298.29      6070.99        18.22    9756013      29280
vda             298.52      6077.15        18.19    9784213      29280
vda             298.68      6080.84        18.16    9808397      29292
vda             298.91      6086.26        18.13    9835453      29292
vda             299.11      6091.75        18.10    9862665      29304
vda             299.29      6096.52        18.07    9888737      29304
vda             299.44      6100.03        18.04    9912797      29316
vda             299.67      6106.37        18.01    9941417      29316
vda             299.82      6110.85        17.99    9967097      29340
vda             299.93      6114.46        17.96    9991393      29340
vda             300.11      6119.27        17.93   10017677      29352
vda             300.34      6125.46        17.90   10046249      29352
vda             300.57      6131.00        17.87   10073717      29364
